lat,lon,elevation,slope,veg_density,fire_prob,wui_dist,cost_rx_burn,cost_mechanical,cost_hand,min_cost,cheapest,prop_benefit_current,health_benefit_current,total_benefit_current,prop_benefit_ssp245,health_benefit_ssp245,total_benefit_ssp245,prop_benefit_ssp585,health_benefit_ssp585,total_benefit_ssp585,net_rx_current,net_mech_current,net_hand_current,net_min_current,net_rx_ssp245,net_mech_ssp245,net_hand_ssp245,net_min_ssp245,net_rx_ssp585,net_mech_ssp585,net_hand_ssp585,net_min_ssp585,bcr_rx_current,bcr_mech_current,bcr_hand_current
32.5,-124.5,246.0,4.3,0.189,0.071,105.6,54160.0,112099.0,94284.0,54160.0,rx_burn,7575.0,0.0,7575.0,9831.0,0.0,9831.0,13398.0,0.0,13398.0,-46585.0,-104524.0,-86709.0,-46585.0,-44329.0,-102268.0,-84453.0,-44329.0,-40762.0,-98701.0,-80886.0,-40762.0,0.14,0.07,0.08
32.5,-124.45,43.0,0.0,0.174,0.09,108.1,45545.0,116763.0,132432.0,45545.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45545.0,-116763.0,-132432.0,-45545.0,-45545.0,-116763.0,-132432.0,-45545.0,-45545.0,-116763.0,-132432.0,-45545.0,0.0,0.0,0.0
32.5,-124.4,310.0,0.0,0.197,0.082,95.7,40751.0,91550.0,115584.0,40751.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40751.0,-91550.0,-115584.0,-40751.0,-40751.0,-91550.0,-115584.0,-40751.0,-40751.0,-91550.0,-115584.0,-40751.0,0.0,0.0,0.0
32.5,-124.35000000000001,337.0,2.1,0.173,0.077,96.6,46983.0,148222.0,133830.0,46983.0,rx_burn,22185.0,0.0,22185.0,31040.0,0.0,31040.0,38478.0,0.0,38478.0,-24798.0,-126037.0,-111645.0,-24798.0,-15943.0,-117182.0,-102790.0,-15943.0,-8505.0,-109744.0,-95352.0,-8505.0,0.47,0.15,0.17
32.5,-124.30000000000001,0.0,0.0,0.191,0.09,101.2,44445.0,93972.0,128852.0,44445.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44445.0,-93972.0,-128852.0,-44445.0,-44445.0,-93972.0,-128852.0,-44445.0,-44445.0,-93972.0,-128852.0,-44445.0,0.0,0.0,0.0
32.5,-124.25000000000001,0.0,4.5,0.139,0.089,106.8,51865.0,75053.0,127556.0,51865.0,rx_burn,772.0,0.0,772.0,923.0,0.0,923.0,1168.0,0.0,1168.0,-51093.0,-74281.0,-126784.0,-51093.0,-50942.0,-74130.0,-126633.0,-50942.0,-50697.0,-73885.0,-126388.0,-50697.0,0.01,0.01,0.01
32.5,-124.20000000000002,211.0,8.7,0.208,0.073,99.4,50613.0,153656.0,181970.0,50613.0,rx_burn,1109.0,4114.0,5223.0,1305.0,4840.0,6145.0,1724.0,6397.0,8121.0,-45390.0,-148433.0,-176747.0,-45390.0,-44468.0,-147511.0,-175825.0,-44468.0,-42492.0,-145535.0,-173849.0,-42492.0,0.1,0.03,0.03
32.5,-124.15000000000002,143.0,8.1,0.218,0.092,98.3,60890.0,120118.0,134492.0,60890.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60890.0,-120118.0,-134492.0,-60890.0,-60890.0,-120118.0,-134492.0,-60890.0,-60890.0,-120118.0,-134492.0,-60890.0,0.0,0.0,0.0
32.5,-124.10000000000002,187.0,0.8,0.221,0.108,89.1,43771.0,99745.0,117370.0,43771.0,rx_burn,5789.0,6483.0,12272.0,8094.0,9065.0,17159.0,11985.0,13422.0,25407.0,-31499.0,-87473.0,-105098.0,-31499.0,-26612.0,-82586.0,-100211.0,-26612.0,-18364.0,-74338.0,-91963.0,-18364.0,0.28,0.12,0.1
32.5,-124.05000000000003,60.0,6.2,0.178,0.086,103.4,37769.0,108450.0,151252.0,37769.0,rx_burn,441.0,7772.0,8213.0,508.0,8955.0,9463.0,686.0,12095.0,12781.0,-29556.0,-100237.0,-143039.0,-29556.0,-28306.0,-98987.0,-141789.0,-28306.0,-24988.0,-95669.0,-138471.0,-24988.0,0.22,0.08,0.05
32.5,-124.00000000000003,318.0,6.9,0.163,0.08,93.6,55979.0,115199.0,126160.0,55979.0,rx_burn,4677.0,0.0,4677.0,5798.0,0.0,5798.0,7530.0,0.0,7530.0,-51302.0,-110522.0,-121483.0,-51302.0,-50181.0,-109401.0,-120362.0,-50181.0,-48449.0,-107669.0,-118630.0,-48449.0,0.08,0.04,0.04
32.5,-123.95000000000003,302.0,1.7,0.269,0.093,100.1,53959.0,86354.0,114987.0,53959.0,rx_burn,14302.0,0.0,14302.0,19103.0,0.0,19103.0,29486.0,0.0,29486.0,-39657.0,-72052.0,-100685.0,-39657.0,-34856.0,-67251.0,-95884.0,-34856.0,-24473.0,-56868.0,-85501.0,-24473.0,0.27,0.17,0.12
32.5,-123.90000000000003,194.0,0.7,0.142,0.052,97.0,61612.0,63208.0,131294.0,61612.0,rx_burn,3537.0,6064.0,9601.0,4780.0,8195.0,12975.0,7021.0,12036.0,19057.0,-52011.0,-53607.0,-121693.0,-52011.0,-48637.0,-50233.0,-118319.0,-48637.0,-42555.0,-44151.0,-112237.0,-42555.0,0.16,0.15,0.07
32.5,-123.85000000000004,352.0,5.2,0.231,0.066,105.7,52090.0,136731.0,137965.0,52090.0,rx_burn,1494.0,4734.0,6228.0,1972.0,6249.0,8221.0,2423.0,7677.0,10100.0,-45862.0,-130503.0,-131737.0,-45862.0,-43869.0,-128510.0,-129744.0,-43869.0,-41990.0,-126631.0,-127865.0,-41990.0,0.12,0.05,0.05
32.5,-123.80000000000004,251.0,4.6,0.274,0.109,98.0,55395.0,113196.0,112936.0,55395.0,rx_burn,0.0,1568.0,1568.0,0.0,1811.0,1811.0,0.0,2435.0,2435.0,-53827.0,-111628.0,-111368.0,-53827.0,-53584.0,-111385.0,-111125.0,-53584.0,-52960.0,-110761.0,-110501.0,-52960.0,0.03,0.01,0.01
32.5,-123.75000000000004,51.0,2.3,0.2,0.113,100.3,53151.0,102450.0,141478.0,53151.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53151.0,-102450.0,-141478.0,-53151.0,-53151.0,-102450.0,-141478.0,-53151.0,-53151.0,-102450.0,-141478.0,-53151.0,0.0,0.0,0.0
32.5,-123.70000000000005,234.0,3.9,0.264,0.116,99.9,47814.0,133402.0,180859.0,47814.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47814.0,-133402.0,-180859.0,-47814.0,-47814.0,-133402.0,-180859.0,-47814.0,-47814.0,-133402.0,-180859.0,-47814.0,0.0,0.0,0.0
32.5,-123.65000000000005,33.0,0.0,0.215,0.114,97.3,56005.0,110395.0,163896.0,56005.0,rx_burn,4804.0,9875.0,14679.0,5730.0,11779.0,17509.0,8716.0,17916.0,26632.0,-41326.0,-95716.0,-149217.0,-41326.0,-38496.0,-92886.0,-146387.0,-38496.0,-29373.0,-83763.0,-137264.0,-29373.0,0.26,0.13,0.09
32.5,-123.60000000000005,308.0,10.5,0.168,0.078,108.0,53999.0,94972.0,105610.0,53999.0,rx_burn,1778.0,7975.0,9753.0,2108.0,9454.0,11562.0,2639.0,11835.0,14474.0,-44246.0,-85219.0,-95857.0,-44246.0,-42437.0,-83410.0,-94048.0,-42437.0,-39525.0,-80498.0,-91136.0,-39525.0,0.18,0.1,0.09
32.5,-123.55000000000005,167.0,2.3,0.259,0.093,123.4,45007.0,115943.0,152030.0,45007.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45007.0,-115943.0,-152030.0,-45007.0,-45007.0,-115943.0,-152030.0,-45007.0,-45007.0,-115943.0,-152030.0,-45007.0,0.0,0.0,0.0
32.5,-123.50000000000006,145.0,1.7,0.183,0.069,95.1,58819.0,81679.0,103544.0,58819.0,rx_burn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58819.0,-81679.0,-103544.0,-58819.0,-58819.0,-81679.0,-103544.0,-58819.0,-58819.0,-81679.0,-103544.0,-58819.0,0.0,0.0,0.0
32.5,-123.45000000000006,70.0,0.3,0.182,0.07,98.4,31348.0,78654.0,99004.0,31348.0,rx_burn,18330.0,4394.0,22724.0,24202.0,5802.0,30004.0,34667.0,8310.0,42977.0,-8624.0,-55930.0,-76280.0,-8624.0,-1344.0,-48650.0,-69000.0,-1344.0,11629.0,-35677.0,-56027.0,11629.0,0.72,0.29,0.23
32.5,-123.40000000000006,354.0,5.4,0.253,0.104,96.4,49879.0,101602.0,141549.0,49879.0,rx_burn,14221.0,0.0,14221.0,16955.0,0.0,16955.0,21488.0,0.0,21488.0,-35658.0,-87381.0,-127328.0,-35658.0,-32924.0,-84647.0,-124594.0,-32924.0,-28391.0,-80114.0,-120061.0,-28391.0,0.29,0.14,0.1
32.5,-123.35000000000007,146.0,0.0,0.169,0.073,101.4,58313.0,88917.0,139916.0,58313.0,rx_burn,1848.0,0.0,1848.0,2196.0,0.0,2196.0,2750.0,0.0,2750.0,-56465.0,-87069.0,-138068.0,-56465.0,-56117.0,-86721.0,-137720.0,-56117.0,-55563.0,-86167.0,-137166.0,-55563.0,0.03,0.02,0.01
