m49,country,commodity,production_kt,emissions_total_kt,ef_total_kgCO2e_per_kg,ef_fer_kgCO2e_per_kg,ef_man_kgCO2e_per_kg,ef_res_kgCO2e_per_kg,ef_rice_kgCO2e_per_kg,ef_peat_kgCO2e_per_kg,ef_urea_kgCO2e_per_kg,ef_burn_kgCO2e_per_kg,ef_ent_kgCO2e_per_kg,ef_mms_kgCO2e_per_kg,ef_prp_kgCO2e_per_kg
0,,barl,1475.6,777.67,0.527,0.1023,0.06,0.0176,0.0,0.3393,0.0072,0.0007,,,
0,,bcat,571.7,14723.35,25.7554,,,,,,,,19.4275,2.0503,4.2776
0,,buff,242.7,1735.75,7.1507,,,,,,,,5.5733,0.7573,0.82
0,,cott,171.2,140.88,0.823,0.4203,0.0224,0.0352,0.0,0.2577,0.0835,0.0039,,,
0,,dcat,8470.3,5917.05,0.6986,,,,,,,,0.5192,0.097,0.0824
0,,goat,340.9,1854.32,5.4397,,,,,,,,3.1757,0.1361,2.1279
0,,grou,517.6,339.69,0.6563,0.0954,0.0559,0.0261,0.0,0.4607,0.0141,0.0041,,,
0,,maiz,4255.4,2220.51,0.5218,0.1504,0.0233,0.0108,0.0,0.3139,0.0209,0.0025,,,
0,,oilp,19388.0,12596.78,0.6497,0.0255,0.0024,0.0,0.0,0.6178,0.0039,0.0,,,
0,,olvs,59.7,536.14,8.9867,,,,,,,,6.5567,0.4738,1.9561
0,,pigs,1414.3,2343.33,1.6568,,,,,,,,0.2821,1.3747,0.0
0,,pota,3477.8,391.52,0.1126,0.041,0.0056,0.0032,0.0,0.0571,0.0055,0.0001,,,
0,,poul,3725.8,1699.78,0.4562,,,,,,,,0.0,0.1665,0.2898
0,,rape,289.6,258.86,0.8939,0.2851,0.0903,0.0182,0.0,0.4784,0.0205,0.0015,,,
0,,rice,14665.6,18081.2,1.2329,0.0696,0.0196,0.0068,0.8874,0.2217,0.0258,0.0019,,,
0,,shee,307.1,2369.09,7.7131,,,,,,,,5.1711,0.2233,2.3188
0,,sorg,199.8,136.25,0.682,0.081,0.0146,0.0115,0.0,0.5407,0.0266,0.0076,,,
0,,soyb,408.3,470.67,1.1528,0.099,0.0399,0.0236,0.0,0.9707,0.0134,0.0061,,,
0,,sugc,23497.8,923.14,0.0393,0.0132,0.0015,0.0035,0.0,0.0189,0.0017,0.0004,,,
0,,whea,3482.9,1533.61,0.4403,0.1407,0.0454,0.0142,0.0,0.226,0.0125,0.0016,,,
4,Afghanistan,barl,130.5,12.08,0.0926,0.0061,0.0626,0.0214,0.0,0.0,0.0025,0.0,,,
4,Afghanistan,bcat,102.2,1562.06,15.2903,,,,,,,,12.9428,1.0943,1.2532
4,Afghanistan,buff,4.1,8.34,2.0282,,,,,,,,1.6727,0.1676,0.1878
4,Afghanistan,cott,79.3,12.25,0.1545,0.0721,0.0303,0.0259,0.0,0.0,0.0261,0.0001,,,
4,Afghanistan,dcat,1883.8,6811.55,3.6158,,,,,,,,2.8836,0.2605,0.4716
4,Afghanistan,goat,162.4,1748.11,10.7616,,,,,,,,6.4074,0.2192,4.135
4,Afghanistan,maiz,275.8,13.3,0.0482,0.0097,0.0258,0.0087,0.0,0.0,0.0039,0.0001,,,
4,Afghanistan,olvs,11.1,673.25,60.7075,,,,,,,,40.9586,2.5668,17.1821
4,Afghanistan,pota,873.8,9.39,0.0107,0.003,0.0034,0.0032,0.0,0.0,0.0012,0.0,,,
4,Afghanistan,poul,48.1,41.85,0.8701,,,,,,,,0.0,0.2462,0.6239
4,Afghanistan,rice,636.7,424.08,0.666,0.0046,0.0086,0.0054,0.6452,0.0,0.0022,0.0,,,
4,Afghanistan,shee,304.9,2618.14,8.5863,,,,,,,,5.7172,0.2997,2.5694
4,Afghanistan,sugc,86.3,0.84,0.0097,0.0037,0.0011,0.0032,0.0,0.0,0.0017,0.0,,,
4,Afghanistan,whea,5144.0,308.35,0.0599,0.0188,0.0202,0.013,0.0,0.0,0.0079,0.0,,,
8,Albania,barl,12.1,2.33,0.1915,0.0845,0.0394,0.0192,0.0,0.0217,0.0213,0.0054,,,
8,Albania,bcat,31.0,130.19,4.197,,,,,,,,3.2183,0.6264,0.3523
8,Albania,dcat,871.2,1202.38,1.3802,,,,,,,,1.0106,0.2996,0.07
8,Albania,goat,84.2,176.34,2.0943,,,,,,,,1.1511,0.0431,0.9
8,Albania,maiz,381.5,65.42,0.1715,0.0522,0.0174,0.0088,0.0,0.0795,0.0102,0.0034,,,
8,Albania,pigs,8.4,37.26,4.4251,,,,,,,,0.7059,3.7191,0.0
8,Albania,pota,242.7,12.94,0.0533,0.0193,0.0053,0.0033,0.0,0.0213,0.0037,0.0005,,,
8,Albania,poul,70.8,35.5,0.5015,,,,,,,,0.0,0.4886,0.0129
8,Albania,shee,88.4,447.6,5.0633,,,,,,,,3.5695,0.1714,1.3225
8,Albania,whea,224.1,78.37,0.3497,0.1846,0.0326,0.0133,0.0,0.0715,0.0402,0.0075,,,
12,Algeria,barl,1198.1,99.55,0.0831,0.0083,0.051,0.0191,0.0,0.0,0.0022,0.0025,,,
12,Algeria,bcat,140.2,1021.29,7.2845,,,,,,,,4.811,0.1779,2.2956
12,Algeria,dcat,2387.8,1629.68,0.6825,,,,,,,,0.4668,0.0132,0.2025
12,Algeria,goat,360.0,1110.98,3.0857,,,,,,,,1.8056,0.0658,1.2143
12,Algeria,grou,11.9,1.75,0.1466,0.0725,0.0322,0.0192,0.0,0.0,0.0175,0.0052,,,
12,Algeria,maiz,2.6,1.22,0.477,0.327,0.052,0.0133,0.0,0.0,0.0828,0.002,,,
12,Algeria,olvs,26.6,605.08,22.7561,,,,,,,,18.1326,0.8543,3.7691
12,Algeria,pota,4558.8,87.65,0.0192,0.0122,0.0016,0.0023,0.0,0.0,0.0028,0.0003,,,
12,Algeria,poul,814.0,854.59,1.0499,,,,,,,,0.0,0.1714,0.8784
