,count,mean,std,min,10%,25%,50%,75%,90%,max
lat,40337.0,37.29999999999973,2.785712186133761,32.5,33.449999999999946,34.899999999999864,37.29999999999973,39.69999999999959,41.14999999999951,42.099999999999454
lon,40337.0,-119.3000000000003,3.0166580192189456,-124.5,-123.50000000000006,-121.90000000000016,-119.3000000000003,-116.70000000000044,-115.10000000000052,-114.1000000000006
elevation,40337.0,211.08190990901653,210.65437993272053,0.0,0.0,2.0,159.0,347.0,525.0,1092.0
slope,40337.0,4.248327837965143,4.344559024872414,0.0,0.0,0.0,3.2,7.0,10.6,27.1
veg_density,40337.0,0.3296169521779012,0.17751624033397978,0.05,0.169,0.201,0.254,0.431,0.628,0.95
fire_prob,40337.0,0.1971181545479337,0.1480784927186767,0.02,0.077,0.09,0.118,0.283,0.451,0.68
wui_dist,40337.0,90.09529464263579,19.55889264018031,0.0,62.0,88.4,96.7,101.3,104.9,124.5
cost_rx_burn,40337.0,59518.67503780648,15476.332955979502,15072.0,42207.0,48492.0,56501.0,68445.0,82740.20000000001,122212.0
cost_mechanical,40337.0,120445.60339142723,33260.22566310286,40000.0,82471.0,96741.0,114803.0,139842.0,169292.4,249667.0
cost_hand,40337.0,149515.04335969457,30733.754105030966,70000.0,112361.0,128037.0,146783.0,168683.0,191447.6,278766.0
min_cost,40337.0,59500.76257530307,15481.919011877722,15072.0,42185.0,48466.0,56471.0,68438.0,82740.20000000001,122212.0
prop_benefit_current,40337.0,9844.573294989712,18222.227007986738,0.0,0.0,0.0,2670.0,12462.0,24615.40000000001,166852.0
health_benefit_current,40337.0,5314.98081166175,8218.278153043851,0.0,0.0,0.0,2169.0,7383.0,14010.200000000012,69714.0
total_benefit_current,40337.0,15159.554106651462,24988.104293411514,0.0,0.0,1689.0,7697.0,17066.0,32652.4,225032.0
prop_benefit_ssp245,40337.0,12557.320227086793,23325.222125051234,0.0,0.0,0.0,3393.0,15835.0,31329.800000000003,231219.0
health_benefit_ssp245,40337.0,6779.6850038426255,10521.34992663259,0.0,0.0,0.0,2773.0,9413.0,17935.000000000007,96535.0
total_benefit_ssp245,40337.0,19337.00523092942,31996.500894553184,0.0,0.0,2150.0,9782.0,21670.0,41833.00000000002,300824.0
prop_benefit_ssp585,40337.0,17254.49421127005,32122.504159023974,0.0,0.0,0.0,4627.0,21673.0,43190.60000000002,296826.0
health_benefit_ssp585,40337.0,9313.022188065548,14497.007902352134,0.0,0.0,0.0,3766.0,12871.0,24681.600000000013,130584.0
total_benefit_ssp585,40337.0,26567.516399335596,44071.00608694439,0.0,0.0,2954.0,13425.0,29749.0,57692.600000000006,421516.0
net_rx_current,40337.0,-44359.12093115502,22007.39618327457,-109611.0,-65919.0,-56219.0,-46566.0,-36572.0,-24647.59999999997,135181.0
net_mech_current,40337.0,-105286.04928477577,31006.898673785046,-234596.0,-146047.6,-123590.0,-103392.0,-85278.0,-69285.0,65073.0
net_hand_current,40337.0,-134355.4892530431,31055.54515290461,-256897.0,-172835.0,-154035.0,-134321.0,-115394.0,-97441.6,62241.0
net_min_current,40337.0,-44341.20846865161,22004.439564464286,-109611.0,-65905.4,-56193.0,-46554.0,-36558.0,-24633.6,135181.0
net_rx_ssp245,40337.0,-40181.669806877064,27901.765871415435,-109611.0,-64203.8,-54662.0,-44494.0,-32935.0,-17665.199999999997,218570.0
net_mech_ssp245,40337.0,-101108.5981604978,33889.209326924036,-233491.0,-142932.4,-120908.0,-100453.0,-81648.0,-63870.0,148462.0
net_hand_ssp245,40337.0,-130178.03812876515,34593.953504609344,-255973.0,-170215.2,-151511.0,-131564.0,-111747.0,-91624.6,138033.0
net_min_ssp245,40337.0,-40163.757344373655,27897.886459438654,-109611.0,-64189.0,-54633.0,-44481.0,-32928.0,-17660.6,218570.0
net_rx_ssp585,40337.0,-32951.158638470886,38931.795782598354,-109611.0,-62048.8,-52354.0,-41198.0,-26140.0,-3994.7999999999956,327777.0
net_mech_ssp585,40337.0,-93878.08699209163,41255.491851439416,-233237.0,-138579.4,-117041.0,-96281.0,-75567.0,-53670.59999999999,243272.0
net_hand_ssp585,40337.0,-122947.52696035897,42743.87528074929,-254391.0,-166912.2,-147840.0,-127037.0,-105696.0,-81339.6,258725.0
net_min_ssp585,40337.0,-32933.24617596748,38927.29921859258,-109611.0,-61999.0,-52329.0,-41187.0,-26125.0,-3991.7999999999956,327777.0
bcr_rx_current,40337.0,0.22701589111733642,0.3038846771972128,0.0,0.0,0.03,0.14,0.3,0.53,2.67
bcr_mech_current,40337.0,0.11314227632198727,0.1519644451643543,0.0,0.0,0.02,0.07,0.15,0.26,1.5
bcr_hand_current,40337.0,0.09379378734164662,0.13533507499857056,0.0,0.0,0.01,0.05,0.12,0.21,1.47
