date,title,summary,type,link,image_filename,featured,long_form_slug,doi,system,topic,source,tool,people
2026-01-01,Another way companies majorly undercount their emissions,,press,https://heatmap.news/sustainability/scope-3-emissions-undercount,,FALSE,,,,,Heatmap,,
2025-08-08,Popular E.P.A. Database Is in Limbo Amid Science Cuts,,press,https://www.nytimes.com/2025/08/08/climate/epa-database-useeio-greenhousegases.html,,FALSE,,,,,New York Times,,
2025-01-01,A net-zero world will have fewer trade wars,,press,https://heatmap.news/energy/net-zero-trade-risk,,FALSE,,,,,Heatmap,,
2024-01-01,"To save the climate, let’s consider making food without farms",,op-ed,https://www.ciphernews.com/articles/to-save-the-climate-lets-considermaking-food-without-farms/,,FALSE,,,,,Cipher,,
2023-11-14,"The Toll of Climate Disasters Is Rising. But a U.S. Report Has Good News, Too",,press,https://www.nytimes.com/2023/11/14/climate/bidennational-climate-assessment.html,,FALSE,,,,,New York Times,,
2023-03-02,Carbon emissions from boreal forest fires rose in 2021,,press,https://www.washingtonpost.com/national/climate-change-wildfires-drought-carbonboreal-forest/2023/03/02/97d551d4-b92d-11ed-b0df-8ca14de679ad_story.html,,FALSE,,10.1126/science.ade0805,"health,climate",impacts,Washington Post,,
2023-03-02,"Boreal forests could be a planet-warming ‘time bomb’ as wildfires expand, says new study",,press,https://www.cnn.com/2023/03/02/world/boreal-forest-firesstudy-climate-scn-intl/index.html,,FALSE,,10.1126/science.ade0805,"health,climate",impacts,CNN,,
2023-01-01,The Foods the World Will Lose to Climate Change,,press,https://www.wired.com/story/the-foods-the-world-will-lose-to-climate-change/,,FALSE,,,,,WIRED,,
2023-01-01,A glimpse of optimism on climate change,,op-ed,https://thehill.com/opinion/energy-environment/4323570-arare-glimpse-of-optimism-on-climate-change/,,FALSE,,,,,The Hill,,
2023-01-01,Concrete Has a Big Carbon Footprint. Can Green Tech Fix It?,,press,https://www.wsj.com/science/environment/green-concrete-carbon-dioxideemissions-storage-c70c0a2b,,FALSE,,,,,Wall Street Journal,,
2023-01-01,Startup Series: Watershed,,press,https://www.mcjcollective.com/my-climate-journey-podcast/watershed,,FALSE,,,,,My Climate Journey (podcast),,
2023-01-01,Northern forests released a record amount of carbon dioxide in 2021,,press,https://www.newscientist.com/article/2362504-northern-forests-releaseda-record-amount-of-carbon-dioxide-in-2021/,,FALSE,,10.1126/science.ade0805,"health,climate",impacts,New Scientist,,
2023-01-01,"Wildfires in boreal forests release record levels of carbon, satellite study shows",,press,https://www.ft.com/content/1a24a66d-854a-4c32-859bb1ef4203e96a,,FALSE,,10.1126/science.ade0805,"health,climate",impacts,Financial Times,,
2023-01-01,Net-zero aviation needs up to $1 trillion in carbon offsets by 2050,,press,https://www.newscientist.com/article/2356840-net-zero-aviation-needs-upto-1-trillion-in-carbon-offsets-by-2050/,,FALSE,,10.1038/s41893-022-01046-9,energy:transportation,mitigation,New Scientist,,
2022-05-20,The Climate Threat Hidden in Your Hamburger,,press,https://www.bloomberg.com/news/articles/2022-05-20/measuring-carbon-emissionsfrom-imported-beef-palm-oil,,FALSE,,,,,Bloomberg,,
2022-04-10,We Are Wasting Time on These Climate Debates. The Next Steps Are Clear,,op-ed,https://www.nytimes.com/2022/04/10/opinion/environment/ipcc-report-climatechange-debates.html,,FALSE,,,,,New York Times,,
2022-01-01,Cement carbon dioxide emissions quietly double in 20 years,,press,https://apnews.com/article/climate-science-china-pollution3d97642acbb07fca7540edca38448266,,FALSE,,10.1016/j.joule.2023.01.013,,,Associated Press,,
2021-03-08,How Bad Was 2020 for Tourism? Look at the Numbers,,press,https://www.nytimes.com/2021/03/08/travel/covid-pandemictourism-data.html,,FALSE,,,,,New York Times,,
2021-01-01,Carbon emissions rapidly rebounded following COVID pandemic dip,,press,http://go.nature.com/3gNIrkF,,FALSE,,,,,Nature,,
2021-01-01,Companies hoping to grow carbon-sucking kelp may be rushing ahead of the science,,press,http://bit.ly/3LAdkaa,,FALSE,,,,,MIT Technology Review,,
2020-12-03,Coal’s endgame: The dirtiest fossil fuel is on the back foot,,press,https://www.economist.com/briefing/2020/12/03/the-dirtiest-fossil-fuel-is-on-the-backfoot,,FALSE,,,,,The Economist,,
2020-01-01,"California Wildfires Killed 106 People Two Years Ago. Researchers Say the Smoke Killed 3,652",,press,https://www.kqed.org/science/1971666/californiawildfires-killed-106-people-two-years-ago-researchers-say-the-smoke-killed-3652,,FALSE,,,,,KQED,,
2020-01-01,Why a Historic Emissions Drop from COVID Is No Cause to Celebrate,,press,https://www.scientificamerican.com/article/why-a-historicemissions-drop-from-covid-is-no-cause-to-celebrate/,,FALSE,,10.1038/nclimate2800,energy,mitigation:trade,Scientific American,,
2020-01-01,New Study Casts Doubt On The Climate Benefits Of Natural Gas Power Plants,,press,https://www.huffpost.com/entry/gas-bridgefuel_n_5f7f74f0c5b664e5babb0ea8,,FALSE,,,,,Huffington Post,,
2020-01-01,"In an Odd Twist, Cleaner Air in China May Mean a Warmer Earth",,press,https://www.wired.com/story/in-an-odd-twist-cleaner-air-in-china-may-mean-awarmer-earth/,,FALSE,,,,,WIRED,,
2020-01-01,How the coronavirus pandemic slashed carbon emissions – in five graphs,,press,https://www.nature.com/articles/d41586-020-01497-0,,FALSE,,,,,Nature,,
2020-01-01,"For richer or poorer: coronavirus, cheap oil test climate vows",,press,https://www.reuters.com/article/us-health-coronavirus-climate-analysisidUKKBN20Z0PD,,FALSE,,,,,Reuter,,
2019-01-01,Is Nuclear Power Worth the Risk?,,press,https://www.newyorker.com/news/dispatch/is-nuclear-power-worth-the-risk,,FALSE,,,,,The New Yorker,,
2019-01-01,Global Carbon Emissions Continue To Rise Despite Efforts To Cut Them,,press,https://n.pr/2LmsmlU,,FALSE,,,,,All Things Considered (NPR),,
2019-01-01,We have too many fossil-fuel power plants to meet climate goals,,press,https://on.natgeo.com/320Ovxw,,FALSE,,,,,National Geographic,,
2019-01-01,"To meet Paris climate targets, some power plants may need to take an early retirement",,press,https://lat.ms/2LyyskH,,FALSE,,,,,Los Angeles Times,,
2019-01-01,We’ve already built too many power plants and cars to prevent 1.5 ˚C of warming,,press,https://bit.ly/2J0IvgG,,FALSE,,,,,MIT Technology Review,,
